architecture,runs,attacked_runs,ASR,ASR_ci_low,ASR_ci_high,UAR,IVR,P_violation_clean,P_violation_attack,Delta_sec,Delta_ci_low,Delta_ci_high,DI,Security
naive,150,100,0.64,0.5423540245160874,0.7272877959859567,0.4266666666666667,0.4266666666666667,0,0.64,0.64,0.54,0.74,4.174387269895637,0.36
policy_gate,150,100,0.0,3.469446951953614e-18,0.03699349820698568,0.0,0.0,0,0,0,0,0,0.0,1.0
prompt_defense,150,100,0.43,0.33733298524110106,0.5278461045078768,0.2866666666666667,0.2866666666666667,0,0.43,0.43,0.34,0.52,3.784189633918261,0.5700000000000001
