model_id,prompt_variant,n,json_extraction,schema_validity,action_accuracy,raw_argument_accuracy,normalized_argument_accuracy,answer_accuracy,raw_full_task_success,full_task_success,tool_execution_readiness,LAC_read,LAC_write,LAC_overall,failed_only_answer,failed_only_action,failed_only_arguments,failed_multiple_causes,repair_rate,mean_latency_ms,median_latency_ms,p95_latency_ms,mean_generation_tokens,meets_thresholds
HuggingFaceTB/SmolLM2-1.7B-Instruct,P2,12,1,1,0.9166666666666666,0.8333333333333334,0.8333333333333334,1,0.6666666666666666,0.6666666666666666,0.7272727272727273,0.6666666666666666,0.75,0.7272727272727273,0,1,3,0,0,21107.4525,19282.805,49082.42,47.916666666666664,False
HuggingFaceTB/SmolLM2-1.7B-Instruct,P3,12,0.9166666666666666,0.5833333333333334,0.4166666666666667,0.6666666666666666,0.625,0.9166666666666666,0.4166666666666667,0.3333333333333333,0.36363636363636365,0.3333333333333333,0.375,0.36363636363636365,0,2,1,5,0,22941.868333333332,18300.67,64954.46,43.583333333333336,False
HuggingFaceTB/SmolLM2-1.7B-Instruct,P4,12,1,0.9166666666666666,0.9166666666666666,1.0,1.0,1,0.9166666666666666,0.9166666666666666,1,1,1,1,0,1,0,0,0,33599.16416666667,32486.16,52942.68,40.5,False
Qwen/Qwen2-1.5B-Instruct,P2,12,1,0.8333333333333334,0.8333333333333334,0.4861111111111111,0.4027777777777778,1,0.3333333333333333,0.16666666666666666,0.18181818181818182,0.3333333333333333,0.125,0.18181818181818182,0,1,8,1,0,17529.6525,15043.525000000001,29357.1,40.5,False
Qwen/Qwen2-1.5B-Instruct,P3,12,1,0.9166666666666666,0.9166666666666666,0.7638888888888888,0.6944444444444444,1,0.6666666666666666,0.6666666666666666,0.6363636363636364,0.6666666666666666,0.625,0.6363636363636364,0,0,3,1,0,15218.939166666667,12830.439999999999,22589.09,33.666666666666664,False
Qwen/Qwen2-1.5B-Instruct,P4,12,1,0.9166666666666666,0.9166666666666666,0.9583333333333334,0.8888888888888888,1,0.8333333333333334,0.6666666666666666,0.7272727272727273,1,0.625,0.7272727272727273,0,1,3,0,0,20540.890833333335,20559.945,25615.06,29.166666666666668,False
