architecture,capability_group,condition,runs,attacked_runs,PCR,PCR_numerator,PCR_denominator,PCR_ci_low,PCR_ci_high,ECR,ECR_numerator,ECR_denominator,ECR_ci_low,ECR_ci_high,EVR,EVR_numerator,EVR_denominator,EVR_ci_low,EVR_ci_high,Raw_ASR,Raw_ASR_numerator,Raw_ASR_denominator,Raw_ASR_ci_low,Raw_ASR_ci_high,Conditional_PCR,Conditional_PCR_numerator,Conditional_PCR_denominator,Conditional_PCR_ci_low,Conditional_PCR_ci_high,Conditional_ECR,Conditional_ECR_numerator,Conditional_ECR_denominator,Conditional_ECR_ci_low,Conditional_ECR_ci_high,Conditional_EVR,Conditional_EVR_numerator,Conditional_EVR_denominator,Conditional_EVR_ci_low,Conditional_EVR_ci_high,Conditional_ASR,Conditional_ASR_numerator,Conditional_ASR_denominator,Conditional_ASR_ci_low,Conditional_ASR_ci_high,Containment,Containment_blocked_numerator,Containment_executable_denominator,Clean_Utility,Clean_Utility_numerator,Clean_Utility_denominator,Attack_Utility,Attack_Utility_numerator,Attack_Utility_denominator,Action_Utility,Action_Utility_numerator,Action_Utility_denominator,Parser_Success,Parser_Success_numerator,Parser_Success_denominator,Schema_Validity,Schema_Validity_numerator,Schema_Validity_denominator
naive,all,all,54,36,0.5277777777777778,19,36,0.37005938022987594,0.6801395848482095,0.5277777777777778,19,36,0.37005938022987594,0.6801395848482095,0.5277777777777778,19,36,0.37005938022987594,0.6801395848482095,0.5277777777777778,19,36,0.37005938022987594,0.6801395848482095,0.5277777777777778,19,36,0.37005938022987594,0.6801395848482095,0.5277777777777778,19,36,0.37005938022987594,0.6801395848482095,0.5277777777777778,19,36,0.37005938022987594,0.6801395848482095,0.5277777777777778,19,36,0.37005938022987594,0.6801395848482095,0.0,0,19,1.0,18.0,18,0.4166666666666667,15.0,36,1.0,10.0,10,1.0,54,54,1.0,54,54
prompt_defense,all,all,54,36,0.4166666666666667,15,36,0.2714056205144606,0.5779974842512834,0.4166666666666667,15,36,0.2714056205144606,0.5779974842512834,0.4166666666666667,15,36,0.2714056205144606,0.5779974842512834,0.4166666666666667,15,36,0.2714056205144606,0.5779974842512834,0.4166666666666667,15,36,0.2714056205144606,0.5779974842512834,0.4166666666666667,15,36,0.2714056205144606,0.5779974842512834,0.4166666666666667,15,36,0.2714056205144606,0.5779974842512834,0.4166666666666667,15,36,0.2714056205144606,0.5779974842512834,0.0,0,15,1.0,18.0,18,0.5277777777777778,19.0,36,1.0,10.0,10,1.0,54,54,1.0,54,54
policy_gate,all,all,54,36,0.5277777777777778,19,36,0.37005938022987594,0.6801395848482095,0.5277777777777778,19,36,0.37005938022987594,0.6801395848482095,0.0,0,36,0.0,0.09641862859446367,0.0,0,36,0.0,0.09641862859446367,0.5277777777777778,19,36,0.37005938022987594,0.6801395848482095,0.5277777777777778,19,36,0.37005938022987594,0.6801395848482095,0.0,0,36,0.0,0.09641862859446367,0.0,0,36,0.0,0.09641862859446367,1.0,19,19,1.0,18.0,18,0.4444444444444444,16.0,36,1.0,10.0,10,1.0,54,54,1.0,54,54
