architecture,runs,Raw_ASR,Raw_ASR_ci_low,Raw_ASR_ci_high,Conditional_ASR,conditional_denominator,ASR_parsed_secondary,IVR,UAR,Delta_sec,P_violation_clean,P_violation_attack,Clean_Utility,Attack_Utility,Model_Utility_Attack,Over_refusal,Task_Completion_Rate,Parse_Success,Schema_Validity
naive,15,0.4,0.16818032970623614,0.6873262302663417,0.4,10,0.4,0.26666666666666666,0.26666666666666666,0.4,0,0.4,0.5833333333333334,0.5333333333333333,0.5333333333333333,0.4666666666666667,0.3333333333333333,1,1
policy_gate,15,0.0,0.0,0.2775327998628892,0.0,10,0.0,0,0.0,0,0,0,0.5833333333333334,0.5333333333333333,0.5333333333333333,0.6666666666666666,0.3333333333333333,1,1
prompt_defense,15,0.2,0.05668215145437519,0.5098375284633583,0.2,10,0.25,0.13333333333333333,0.13333333333333333,0.2,0,0.2,0.35,0.6,0.6,0.6666666666666666,0.3333333333333333,0.8,0.8
