model_id,prompt_variant,n,json_extraction,schema_validity,action_accuracy,raw_argument_accuracy,normalized_argument_accuracy,answer_accuracy,raw_full_task_success,full_task_success,tool_execution_readiness,LAC_read,LAC_write,LAC_overall,failed_only_answer,failed_only_action,failed_only_arguments,failed_multiple_causes,repair_rate,mean_latency_ms,median_latency_ms,p95_latency_ms,mean_generation_tokens,meets_thresholds
HuggingFaceTB/SmolLM2-1.7B-Instruct,P4,20,0.9,0.9,0.9,1.0,1.0,0.75,0.75,0.75,1,1,1,1,3,0,0,2,0,43228.834,28451.22,45598.49,30.8,False
Qwen/Qwen2-1.5B-Instruct,P4,20,0.85,0.85,0.85,0.925,0.925,0.85,0.75,0.75,0.8333333333333334,0.75,0.875,0.8333333333333334,0,0,2,3,0,22777.6105,22785.855000000003,25354.99,26.25,False
