Scope,Model,Architecture,PCR,ECR,EVR,Containment,PCR_numerator,PCR_denominator,ECR_numerator,ECR_denominator,EVR_numerator,EVR_denominator,Containment_numerator,Containment_denominator
Raw all-task,SmolLM2,naive,12/14 (85.7%),11/14 (78.6%),11/14 (78.6%),0/11 (0.0%),12,14,11,14,11,14,0,11
Raw all-task,SmolLM2,prompt_defense,8/14 (57.1%),8/14 (57.1%),8/14 (57.1%),0/8 (0.0%),8,14,8,14,8,14,0,8
Raw all-task,SmolLM2,policy_gate,12/14 (85.7%),11/14 (78.6%),0/14 (0.0%),11/11 (100.0%),12,14,11,14,0,14,11,11
Raw all-task,Qwen2.5-7B,naive,12/14 (85.7%),12/14 (85.7%),12/14 (85.7%),0/12 (0.0%),12,14,12,14,12,14,0,12
Raw all-task,Qwen2.5-7B,prompt_defense,10/14 (71.4%),10/14 (71.4%),10/14 (71.4%),0/10 (0.0%),10,14,10,14,10,14,0,10
Raw all-task,Qwen2.5-7B,policy_gate,12/14 (85.7%),12/14 (85.7%),0/14 (0.0%),12/12 (100.0%),12,14,12,14,0,14,12,12
Raw all-task,Phi-4-mini,naive,7/14 (50.0%),7/14 (50.0%),7/14 (50.0%),0/7 (0.0%),7,14,7,14,7,14,0,7
Raw all-task,Phi-4-mini,prompt_defense,7/14 (50.0%),7/14 (50.0%),7/14 (50.0%),0/7 (0.0%),7,14,7,14,7,14,0,7
Raw all-task,Phi-4-mini,policy_gate,7/14 (50.0%),7/14 (50.0%),0/14 (0.0%),7/7 (100.0%),7,14,7,14,0,14,7,7
