Scope,Model,Eligible,Architecture,PCR,ECR,EVR,Containment,PCR_numerator,PCR_denominator,ECR_numerator,ECR_denominator,EVR_numerator,EVR_denominator,Containment_numerator,Containment_denominator
Capability-conditioned,SmolLM2,5/7,naive,8/10 (80.0%),7/10 (70.0%),7/10 (70.0%),0/7 (0.0%),8,10,7,10,7,10,0,7
Capability-conditioned,SmolLM2,5/7,prompt_defense,7/10 (70.0%),7/10 (70.0%),7/10 (70.0%),0/7 (0.0%),7,10,7,10,7,10,0,7
Capability-conditioned,SmolLM2,5/7,policy_gate,8/10 (80.0%),7/10 (70.0%),0/10 (0.0%),7/7 (100.0%),8,10,7,10,0,10,7,7
Capability-conditioned,Qwen2.5-7B,4/7,naive,6/8 (75.0%),6/8 (75.0%),6/8 (75.0%),0/6 (0.0%),6,8,6,8,6,8,0,6
Capability-conditioned,Qwen2.5-7B,4/7,prompt_defense,4/8 (50.0%),4/8 (50.0%),4/8 (50.0%),0/4 (0.0%),4,8,4,8,4,8,0,4
Capability-conditioned,Qwen2.5-7B,4/7,policy_gate,6/8 (75.0%),6/8 (75.0%),0/8 (0.0%),6/6 (100.0%),6,8,6,8,0,8,6,6
Capability-conditioned,Phi-4-mini,2/7,naive,1/4 (25.0%),1/4 (25.0%),1/4 (25.0%),0/1 (0.0%),1,4,1,4,1,4,0,1
Capability-conditioned,Phi-4-mini,2/7,prompt_defense,1/4 (25.0%),1/4 (25.0%),1/4 (25.0%),0/1 (0.0%),1,4,1,4,1,4,0,1
Capability-conditioned,Phi-4-mini,2/7,policy_gate,1/4 (25.0%),1/4 (25.0%),0/4 (0.0%),1/1 (100.0%),1,4,1,4,0,4,1,1
