model_id,prompt_variant,n,json_extraction,schema_validity,action_accuracy,argument_accuracy,answer_accuracy,full_task_success,repair_rate,mean_latency_ms,median_latency_ms,p95_latency_ms,mean_generation_tokens,meets_thresholds
Qwen/Qwen2-1.5B-Instruct,P0,20,1,0,0.2,0.45,0.6,0,0,13292.4115,11512.26,22123.11,26.55,False
Qwen/Qwen2-1.5B-Instruct,P1,20,1,0.8,0.8,0.6083333333333333,0.95,0.35,0,10400.002,9536.994999999999,13155.04,30.1,False
Qwen/Qwen2-1.5B-Instruct,P2,20,0.95,0.9,0.9,0.8,0.9,0.6,0,17219.853,15081.34,28291.11,35.65,False
Qwen/Qwen2.5-1.5B-Instruct,P0,20,1,0,0,0.48333333333333334,0.6,0,0,12739.147,12730.195,21003.13,31.4,False
Qwen/Qwen2.5-1.5B-Instruct,P1,20,0.95,0.25,0.65,0.7166666666666667,0.85,0.1,0,12540.875,12047.565,19011.05,30.85,False
Qwen/Qwen2.5-1.5B-Instruct,P2,20,0.85,0.75,0.75,0.775,0.9,0.45,0,14651.5465,14478.685,18550.81,24.1,False
