model,architecture,eligible_tasks,scope,attacked_tasks,PCR_numerator,PCR_denominator,PCR,PCR_ci95_low,PCR_ci95_high,PCR_ci_method,ECR_numerator,ECR_denominator,ECR,ECR_ci95_low,ECR_ci95_high,ECR_ci_method,EVR_numerator,EVR_denominator,EVR,EVR_ci95_low,EVR_ci95_high,EVR_ci_method,Raw_ASR_numerator,Raw_ASR_denominator,Raw_ASR,Raw_ASR_ci95_low,Raw_ASR_ci95_high,Raw_ASR_ci_method,Containment_numerator,Containment_denominator,Containment,Containment_ci95_low,Containment_ci95_high,Containment_ci_method
SmolLM2,naive,5,raw,14,12,14,0.8571428571428571,0.6005862050302965,0.9599060787285351,existing_wilson_95,11,14,0.7857142857142857,0.524107694133997,0.9242861328730683,existing_wilson_95,11,14,0.7857142857142857,0.524107694133997,0.9242861328730683,existing_wilson_95,11,14,0.7857142857142857,0.524107694133997,0.9242861328730683,existing_wilson_95,0,11,0.0,0.0,0.2588329669680317,existing_wilson_95
SmolLM2,prompt_defense,5,raw,14,8,14,0.5714285714285714,0.3259064457965074,0.7861920109552588,existing_wilson_95,8,14,0.5714285714285714,0.3259064457965074,0.7861920109552588,existing_wilson_95,8,14,0.5714285714285714,0.3259064457965074,0.7861920109552588,existing_wilson_95,8,14,0.5714285714285714,0.3259064457965074,0.7861920109552588,existing_wilson_95,0,8,0.0,0.0,0.32440756488388023,existing_wilson_95
SmolLM2,policy_gate,5,raw,14,12,14,0.8571428571428571,0.6005862050302965,0.9599060787285351,existing_wilson_95,11,14,0.7857142857142857,0.524107694133997,0.9242861328730683,existing_wilson_95,0,14,0.0,1.3877787807814457e-17,0.2153108027376358,existing_wilson_95,0,14,0.0,1.3877787807814457e-17,0.2153108027376358,existing_wilson_95,11,11,1.0,0.7411670330319684,1.0,existing_wilson_95
Qwen2.5-7B,naive,4,raw,14,12,14,0.8571428571428571,0.6005862050302965,0.9599060787285351,existing_wilson_95,12,14,0.8571428571428571,0.6005862050302965,0.9599060787285351,existing_wilson_95,12,14,0.8571428571428571,0.6005862050302965,0.9599060787285351,existing_wilson_95,12,14,0.8571428571428571,0.6005862050302965,0.9599060787285351,existing_wilson_95,0,12,0.0,2.7755575615628914e-17,0.24249400665524085,existing_wilson_95
Qwen2.5-7B,prompt_defense,4,raw,14,10,14,0.7142857142857143,0.4535091567010681,0.8827862135542308,existing_wilson_95,10,14,0.7142857142857143,0.4535091567010681,0.8827862135542308,existing_wilson_95,10,14,0.7142857142857143,0.4535091567010681,0.8827862135542308,existing_wilson_95,10,14,0.7142857142857143,0.4535091567010681,0.8827862135542308,existing_wilson_95,0,10,0.0,0.0,0.2775327998628892,existing_wilson_95
Qwen2.5-7B,policy_gate,4,raw,14,12,14,0.8571428571428571,0.6005862050302965,0.9599060787285351,existing_wilson_95,12,14,0.8571428571428571,0.6005862050302965,0.9599060787285351,existing_wilson_95,0,14,0.0,1.3877787807814457e-17,0.2153108027376358,existing_wilson_95,0,14,0.0,1.3877787807814457e-17,0.2153108027376358,existing_wilson_95,12,12,1.0,0.7575059933447592,1.0,existing_wilson_95
Phi-4-mini,naive,2,raw,14,7,14,0.5,0.26799202452413634,0.7320079754758637,existing_wilson_95,7,14,0.5,0.26799202452413634,0.7320079754758637,existing_wilson_95,7,14,0.5,0.26799202452413634,0.7320079754758637,existing_wilson_95,7,14,0.5,0.26799202452413634,0.7320079754758637,existing_wilson_95,0,7,0.0,5.551115123125783e-17,0.35433043506668743,existing_wilson_95
Phi-4-mini,prompt_defense,2,raw,14,7,14,0.5,0.26799202452413634,0.7320079754758637,existing_wilson_95,7,14,0.5,0.26799202452413634,0.7320079754758637,existing_wilson_95,7,14,0.5,0.26799202452413634,0.7320079754758637,existing_wilson_95,7,14,0.5,0.26799202452413634,0.7320079754758637,existing_wilson_95,0,7,0.0,5.551115123125783e-17,0.35433043506668743,existing_wilson_95
Phi-4-mini,policy_gate,2,raw,14,7,14,0.5,0.26799202452413634,0.7320079754758637,existing_wilson_95,7,14,0.5,0.26799202452413634,0.7320079754758637,existing_wilson_95,0,14,0.0,1.3877787807814457e-17,0.2153108027376358,existing_wilson_95,0,14,0.0,1.3877787807814457e-17,0.2153108027376358,existing_wilson_95,7,7,1.0,0.6456695649333126,1.0,existing_wilson_95
