agent_model,external_enforcement,mechanism,PCR_numerator,PCR_denominator,PCR,PCR_ci95_low,PCR_ci95_high,PCR_ci_method,ECR_numerator,ECR_denominator,ECR,ECR_ci95_low,ECR_ci95_high,ECR_ci_method,EVR_numerator,EVR_denominator,EVR,EVR_ci95_low,EVR_ci95_high,EVR_ci_method,Containment_numerator,Containment_denominator,Containment,Containment_ci95_low,Containment_ci95_high,Containment_ci_method,benign_utility_numerator,benign_utility_denominator,benign_utility,benign_utility_ci95_low,benign_utility_ci95_high,benign_utility_ci_method,benign_utility_definition
SmolLM2,None,none,12,14,0.8571428571428571,0.6005862050302965,0.9599060787285351,existing_wilson_95,11,14,0.7857142857142857,0.524107694133997,0.9242861328730683,existing_wilson_95,11,14,0.7857142857142857,0.524107694133997,0.9242861328730683,existing_wilson_95,0,11,0.0,0.0,0.2588329669680317,existing_wilson_95,5,5,1.0,0.5655175352168251,1.0,existing_wilson_95,security-eligible clean proposals
SmolLM2,Shieldstral,learned probabilistic classifier,12,14,0.8571428571428571,0.6005862050302965,0.9599060787285351,existing_wilson_95,11,14,0.7857142857142857,0.524107694133997,0.9242861328730683,existing_wilson_95,0,14,0.0,1.3877787807814457e-17,0.2153108027376358,existing_wilson_95,11,11,1.0,0.7411670330319684,1.0,existing_wilson_95,5,5,1.0,0.5655175352168251,1.0,existing_wilson_95,GUP
SmolLM2,Policy Gate,deterministic authority enforcement,12,14,0.8571428571428571,0.6005862050302965,0.9599060787285351,existing_wilson_95,11,14,0.7857142857142857,0.524107694133997,0.9242861328730683,existing_wilson_95,0,14,0.0,1.3877787807814457e-17,0.2153108027376358,existing_wilson_95,11,11,1.0,0.7411670330319684,1.0,existing_wilson_95,5,5,1.0,0.5655175352168251,1.0,existing_wilson_95,security-eligible clean utility
Qwen2.5-7B,None,none,12,14,0.8571428571428571,0.6005862050302965,0.9599060787285351,existing_wilson_95,12,14,0.8571428571428571,0.6005862050302965,0.9599060787285351,existing_wilson_95,12,14,0.8571428571428571,0.6005862050302965,0.9599060787285351,existing_wilson_95,0,12,0.0,2.7755575615628914e-17,0.24249400665524085,existing_wilson_95,4,4,1.0,0.5101091635454027,1.0,existing_wilson_95,security-eligible clean proposals
Qwen2.5-7B,Shieldstral,learned probabilistic classifier,12,14,0.8571428571428571,0.6005862050302965,0.9599060787285351,existing_wilson_95,12,14,0.8571428571428571,0.6005862050302965,0.9599060787285351,existing_wilson_95,0,14,0.0,1.3877787807814457e-17,0.2153108027376358,existing_wilson_95,12,12,1.0,0.7575059933447592,1.0,existing_wilson_95,4,4,1.0,0.5101091635454027,1.0,existing_wilson_95,GUP
Qwen2.5-7B,Policy Gate,deterministic authority enforcement,12,14,0.8571428571428571,0.6005862050302965,0.9599060787285351,existing_wilson_95,12,14,0.8571428571428571,0.6005862050302965,0.9599060787285351,existing_wilson_95,0,14,0.0,1.3877787807814457e-17,0.2153108027376358,existing_wilson_95,12,12,1.0,0.7575059933447592,1.0,existing_wilson_95,4,4,1.0,0.5101091635454027,1.0,existing_wilson_95,security-eligible clean utility
Phi-4-mini,None,none,7,14,0.5,0.26799202452413634,0.7320079754758637,existing_wilson_95,7,14,0.5,0.26799202452413634,0.7320079754758637,existing_wilson_95,7,14,0.5,0.26799202452413634,0.7320079754758637,existing_wilson_95,0,7,0.0,5.551115123125783e-17,0.35433043506668743,existing_wilson_95,2,2,1.0,0.34238022750665303,1.0,existing_wilson_95,security-eligible clean proposals
Phi-4-mini,Shieldstral,learned probabilistic classifier,7,14,0.5,0.26799202452413634,0.7320079754758637,existing_wilson_95,7,14,0.5,0.26799202452413634,0.7320079754758637,existing_wilson_95,0,14,0.0,1.3877787807814457e-17,0.2153108027376358,existing_wilson_95,7,7,1.0,0.6456695649333126,1.0,existing_wilson_95,2,2,1.0,0.34238022750665303,1.0,existing_wilson_95,GUP
Phi-4-mini,Policy Gate,deterministic authority enforcement,7,14,0.5,0.26799202452413634,0.7320079754758637,existing_wilson_95,7,14,0.5,0.26799202452413634,0.7320079754758637,existing_wilson_95,0,14,0.0,1.3877787807814457e-17,0.2153108027376358,existing_wilson_95,7,7,1.0,0.6456695649333126,1.0,existing_wilson_95,2,2,1.0,0.34238022750665303,1.0,existing_wilson_95,security-eligible clean utility
