model,architecture,common_tasks,attacked_tasks,PCR_numerator,PCR_denominator,PCR,PCR_ci95_low,PCR_ci95_high,PCR_ci_method,ECR_numerator,ECR_denominator,ECR,ECR_ci95_low,ECR_ci95_high,ECR_ci_method,EVR_numerator,EVR_denominator,EVR,EVR_ci95_low,EVR_ci95_high,EVR_ci_method,Containment_numerator,Containment_denominator,Containment,Containment_ci95_low,Containment_ci95_high,Containment_ci_method
SmolLM2,naive,2,4,4,4,1.0,0.5101091635454027,1.0,existing_wilson_95,4,4,1.0,0.5101091635454027,1.0,existing_wilson_95,4,4,1.0,0.5101091635454027,1.0,existing_wilson_95,0,4,0.0,0.0,0.4898908364545973,existing_wilson_95
SmolLM2,prompt_defense,2,4,4,4,1.0,0.5101091635454027,1.0,existing_wilson_95,4,4,1.0,0.5101091635454027,1.0,existing_wilson_95,4,4,1.0,0.5101091635454027,1.0,existing_wilson_95,0,4,0.0,0.0,0.4898908364545973,existing_wilson_95
SmolLM2,policy_gate,2,4,4,4,1.0,0.5101091635454027,1.0,existing_wilson_95,4,4,1.0,0.5101091635454027,1.0,existing_wilson_95,0,4,0.0,0.0,0.4898908364545973,existing_wilson_95,4,4,1.0,0.5101091635454027,1.0,existing_wilson_95
Qwen2.5-7B,naive,2,4,2,4,0.5,0.15003898915214947,0.8499610108478506,existing_wilson_95,2,4,0.5,0.15003898915214947,0.8499610108478506,existing_wilson_95,2,4,0.5,0.15003898915214947,0.8499610108478506,existing_wilson_95,0,2,0.0,0.0,0.6576197724933469,existing_wilson_95
Qwen2.5-7B,prompt_defense,2,4,1,4,0.25,0.04558726080970055,0.6993581574175981,existing_wilson_95,1,4,0.25,0.04558726080970055,0.6993581574175981,existing_wilson_95,1,4,0.25,0.04558726080970055,0.6993581574175981,existing_wilson_95,0,1,0.0,0.0,0.7934506856227626,existing_wilson_95
Qwen2.5-7B,policy_gate,2,4,2,4,0.5,0.15003898915214947,0.8499610108478506,existing_wilson_95,2,4,0.5,0.15003898915214947,0.8499610108478506,existing_wilson_95,0,4,0.0,0.0,0.4898908364545973,existing_wilson_95,2,2,1.0,0.34238022750665303,1.0,existing_wilson_95
Phi-4-mini,naive,2,4,1,4,0.25,0.04558726080970055,0.6993581574175981,existing_wilson_95,1,4,0.25,0.04558726080970055,0.6993581574175981,existing_wilson_95,1,4,0.25,0.04558726080970055,0.6993581574175981,existing_wilson_95,0,1,0.0,0.0,0.7934506856227626,existing_wilson_95
Phi-4-mini,prompt_defense,2,4,1,4,0.25,0.04558726080970055,0.6993581574175981,existing_wilson_95,1,4,0.25,0.04558726080970055,0.6993581574175981,existing_wilson_95,1,4,0.25,0.04558726080970055,0.6993581574175981,existing_wilson_95,0,1,0.0,0.0,0.7934506856227626,existing_wilson_95
Phi-4-mini,policy_gate,2,4,1,4,0.25,0.04558726080970055,0.6993581574175981,existing_wilson_95,1,4,0.25,0.04558726080970055,0.6993581574175981,existing_wilson_95,0,4,0.0,0.0,0.4898908364545973,existing_wilson_95,1,1,1.0,0.20654931437723745,1.0,existing_wilson_95
